Name,Released_Year,Runtime,Genre,IMDB_Rating,Meta_score,No_of_Votes,Gross
Skyfall,2012,143 min,"Action, Adventure, Thriller",7.7,81,630614,"304,360,277"
Silver Linings Playbook,2012,122 min,"Comedy, Drama, Romance",7.7,81,661871,"132,092,958"
Argo,2012,120 min,"Biography, Drama, Thriller",7.7,86,572581,"136,025,503"
(500) Days of Summer,2009,95 min,"Comedy, Drama, Romance",7.7,76,472242,"32,391,374"
Harry Potter and the Deathly Hallows: Part 1,2010,146 min,"Adventure, Family, Fantasy",7.7,65,479120,"295,983,305"
Gake no ue no Ponyo,2008,101 min,"Animation, Adventure, Comedy",7.7,86,125317,"15,090,400"
Frost/Nixon,2008,122 min,"Biography, Drama, History",7.7,80,103330,"18,593,156"
Papurika,2006,90 min,"Animation, Drama, Fantasy",7.7,81,71379,"881,302"
Changeling,2008,141 min,"Biography, Crime, Drama",7.7,63,239203,"35,739,802"
Flipped,2010,90 min,"Comedy, Drama, Romance",7.7,45,81446,"1,752,214"
Toki o kakeru shôjo,2006,98 min,"Animation, Adventure, Comedy",7.7,,60368,
Death Note: Desu nôto,2006,126 min,"Crime, Drama, Fantasy",7.7,,28630,
This Is England,2006,101 min,"Crime, Drama",7.7,86,115576,"327,919"
Ex Machina,2014,108 min,"Drama, Sci-Fi, Thriller",7.7,78,474141,"25,442,958"
Efter brylluppet,2006,120 min,Drama,7.7,78,32001,"412,544"
The Last King of Scotland,2006,123 min,"Biography, Drama, History",7.7,74,175355,"17,605,861"
Zodiac,2007,157 min,"Crime, Drama, Mystery",7.7,78,466080,"33,080,084"
Lucky Number Slevin,2006,110 min,"Action, Crime, Drama",7.7,53,299524,"22,494,487"
Joyeux Noël,2005,116 min,"Drama, History, Music",7.7,70,28003,"1,054,361"
Control,2007,122 min,"Biography, Drama, Music",7.7,78,61609,"871,577"
Tangled,2010,100 min,"Animation, Adventure, Comedy",7.7,71,405922,"200,821,936"
Zwartboek,2006,145 min,"Drama, Thriller, War",7.7,71,72643,"4,398,392"
Brokeback Mountain,2005,134 min,"Drama, Romance",7.7,87,323103,"83,043,761"
3:10 to Yuma,2007,122 min,"Action, Crime, Drama",7.7,76,288797,"53,606,916"
Crash,2004,112 min,"Crime, Drama, Thriller",7.7,66,419483,"54,580,300"
Kung fu,2004,99 min,"Action, Comedy, Fantasy",7.7,78,127250,"17,108,591"
The Bourne Supremacy,2004,108 min,"Action, Mystery, Thriller",7.7,73,434841,"176,241,941"
The Machinist,2004,101 min,"Drama, Thriller",7.7,61,358432,"1,082,715"
Ray,2004,152 min,"Biography, Drama, Music",7.7,73,138356,"75,331,600"
Lost in Translation,2003,102 min,"Comedy, Drama",7.7,89,415074,"44,585,453"
Harry Potter and the Goblet of Fire,2005,157 min,"Adventure, Family, Fantasy",7.7,81,548619,"290,013,036"
Man on Fire,2004,146 min,"Action, Crime, Drama",7.7,47,329592,"77,911,774"
Coraline,2009,100 min,"Animation, Drama, Family",7.7,80,197761,"75,286,229"
The Last Samurai,2003,154 min,"Action, Drama",7.7,55,400049,"111,110,575"
The Magdalene Sisters,2002,114 min,Drama,7.7,83,25938,"4,890,878"
Good Bye Lenin!,2003,121 min,"Comedy, Drama, Romance",7.7,68,137981,"4,064,200"
In America,2002,105 min,Drama,7.7,76,40403,"15,539,266"
I Am Sam,2001,132 min,Drama,7.7,28,142863,"40,311,852"
Adaptation.,2002,115 min,"Comedy, Drama",7.7,83,178565,"22,245,861"
Black Hawk Down,2001,144 min,"Drama, History, War",7.7,74,364254,"108,638,745"
Road to Perdition,2002,117 min,"Crime, Drama, Thriller",7.7,72,246840,"104,454,762"
Das Experiment,2001,120 min,"Drama, Thriller",7.7,60,90842,"141,072"
Billy Elliot,2000,110 min,"Drama, Music",7.7,74,126770,"21,995,263"
Hedwig and the Angry Inch,2001,95 min,"Comedy, Drama, Music",7.7,85,31957,"3,029,081"
Ocean's Eleven,2001,116 min,"Crime, Thriller",7.7,74,516372,"183,417,150"
Vampire Hunter D: Bloodlust,2000,103 min,"Animation, Action, Fantasy",7.7,62,29210,"151,086"
"O Brother, Where Art Thou?",2000,107 min,"Adventure, Comedy, Crime",7.7,69,286742,"45,512,588"
Interstate 60: Episodes of the Road,2002,116 min,"Adventure, Comedy, Drama",7.7,,29999,
"South Park: Bigger, Longer & Uncut",1999,81 min,"Animation, Comedy, Fantasy",7.7,73,192112,"52,037,603"
Office Space,1999,89 min,Comedy,7.7,68,241575,"10,824,921"
Happiness,1998,134 min,"Comedy, Drama",7.7,81,66408,"2,807,390"
Training Day,2001,122 min,"Crime, Drama, Thriller",7.7,69,390247,"76,631,907"
Rushmore,1998,93 min,"Comedy, Drama, Romance",7.7,86,169229,"17,105,219"
Abre los ojos,1997,119 min,"Drama, Mystery, Sci-Fi",7.7,,64082,"368,234"
Being John Malkovich,1999,113 min,"Comedy, Drama, Fantasy",7.7,90,312542,"22,858,926"
As Good as It Gets,1997,139 min,"Comedy, Drama, Romance",7.7,67,275755,"148,478,011"
The Fifth Element,1997,126 min,"Action, Adventure, Sci-Fi",7.7,52,434125,"63,540,020"
Le dîner de cons,1998,80 min,Comedy,7.7,73,37424,"4,065,116"
Donnie Brasco,1997,127 min,"Biography, Crime, Drama",7.7,76,279318,"41,909,762"
Shine,1996,105 min,"Biography, Drama, Music",7.7,87,51350,"35,811,509"
Primal Fear,1996,129 min,"Crime, Drama, Mystery",7.7,47,189716,"56,116,183"
Hamlet,1996,242 min,Drama,7.7,,35991,"4,414,535"
A Little Princess,1995,97 min,"Drama, Family, Fantasy",7.7,83,32236,"10,019,307"
Do lok tin si,1995,99 min,"Comedy, Crime, Drama",7.7,71,26429,
Il postino,1994,108 min,"Biography, Comedy, Drama",7.7,81,33600,"21,848,932"
Clerks,1994,92 min,Comedy,7.7,70,211450,"3,151,130"
Short Cuts,1993,188 min,"Comedy, Drama",7.7,79,42275,"6,110,979"
Philadelphia,1993,125 min,Drama,7.7,66,224169,"77,324,422"
The Muppet Christmas Carol,1992,85 min,"Comedy, Drama, Family",7.7,64,50298,"27,281,507"
Malcolm X,1992,202 min,"Biography, Drama, History",7.7,73,85819,"48,169,908"
The Last of the Mohicans,1992,112 min,"Action, Adventure, Drama",7.7,76,150409,"75,505,856"
Kurenai no buta,1992,94 min,"Animation, Adventure, Comedy",7.7,83,77798,
Glengarry Glen Ross,1992,100 min,"Crime, Drama, Mystery",7.7,82,95826,"10,725,228"
A Few Good Men,1992,138 min,"Drama, Thriller",7.7,62,235388,"141,340,178"
Fried Green Tomatoes,1991,130 min,Drama,7.7,64,66941,"82,418,501"
Barton Fink,1991,116 min,"Comedy, Drama, Thriller",7.7,69,113240,"6,153,939"
Miller's Crossing,1990,115 min,"Crime, Drama, Thriller",7.7,66,125822,"5,080,409"
Who Framed Roger Rabbit,1988,104 min,"Animation, Adventure, Comedy",7.7,83,182009,"156,452,370"
Spoorloos,1988,107 min,"Mystery, Thriller",7.7,,33982,
Withnail & I,1987,107 min,"Comedy, Drama",7.7,84,40396,"1,544,889"
The Last Emperor,1987,163 min,"Biography, Drama, History",7.7,76,94326,"43,984,230"
Empire of the Sun,1987,153 min,"Action, Drama, History",7.7,62,115677,"22,238,696"
Der Name der Rose,1986,130 min,"Crime, Drama, Mystery",7.7,54,102031,"7,153,487"
Blue Velvet,1986,120 min,"Drama, Mystery, Thriller",7.7,76,181285,"8,551,228"
The Purple Rose of Cairo,1985,82 min,"Comedy, Fantasy, Romance",7.7,75,47102,"10,631,333"
After Hours,1985,97 min,"Comedy, Crime, Drama",7.7,90,59635,"10,600,000"
Zelig,1983,79 min,Comedy,7.7,,39881,"11,798,616"
The Verdict,1982,129 min,Drama,7.7,77,36096,"54,000,000"
Star Trek II: The Wrath of Khan,1982,113 min,"Action, Adventure, Sci-Fi",7.7,67,112704,"78,912,963"
First Blood,1982,93 min,"Action, Adventure",7.7,61,226541,"47,212,904"
Ordinary People,1980,124 min,Drama,7.7,86,47099,"54,800,000"
Airplane!,1980,88 min,Comedy,7.7,78,214882,"83,400,000"
Rupan sansei: Kariosutoro no shiro,1979,100 min,"Animation, Adventure, Family",7.7,71,27014,
Halloween,1978,91 min,"Horror, Thriller",7.7,87,233106,"47,000,000"
Le locataire,1976,126 min,"Drama, Thriller",7.7,71,39889,"1,924,733"
Love and Death,1975,85 min,"Comedy, War",7.7,89,36037,
The Taking of Pelham One Two Three,1974,104 min,"Action, Crime, Thriller",7.7,68,26729,
Blazing Saddles,1974,93 min,"Comedy, Western",7.7,73,125993,"119,500,000"
Serpico,1973,130 min,"Biography, Crime, Drama",7.7,87,109941,"29,800,000"
Enter the Dragon,1973,102 min,"Action, Crime, Drama",7.7,83,96561,"25,000,000"
Deliverance,1972,109 min,"Adventure, Drama, Thriller",7.7,80,98740,"7,056,013"
The French Connection,1971,104 min,"Action, Crime, Drama",7.7,94,110075,"15,630,710"
Dirty Harry,1971,102 min,"Action, Crime, Thriller",7.7,90,143292,"35,900,000"
Where Eagles Dare,1968,158 min,"Action, Adventure, War",7.7,63,51913,
The Odd Couple,1968,105 min,Comedy,7.7,86,31572,"44,527,234"
The Dirty Dozen,1967,150 min,"Action, Adventure, War",7.7,73,67183,"45,300,000"
Belle de jour,1967,100 min,"Drama, Romance",7.7,,40274,"26,331"
A Man for All Seasons,1966,120 min,"Biography, Drama, History",7.7,72,31222,"28,350,000"
Repulsion,1965,105 min,"Drama, Horror, Thriller",7.7,91,48883,
Zulu,1964,138 min,"Drama, History, War",7.7,77,35999,
Goldfinger,1964,110 min,"Action, Adventure, Thriller",7.7,87,174119,"51,081,062"
The Birds,1963,119 min,"Drama, Horror, Mystery",7.7,90,171739,"11,403,529"
Cape Fear,1962,106 min,"Drama, Thriller",7.7,76,26457,
Peeping Tom,1960,101 min,"Drama, Horror, Thriller",7.7,,31354,"83,957"
The Magnificent Seven,1960,128 min,"Action, Adventure, Western",7.7,74,87719,"4,905,000"
Les yeux sans visage,1960,90 min,"Drama, Horror",7.7,90,27620,"52,709"
Invasion of the Body Snatchers,1956,80 min,"Drama, Horror, Sci-Fi",7.7,92,44839,
Rebel Without a Cause,1955,111 min,Drama,7.7,89,83363,
The Ladykillers,1955,91 min,"Comedy, Crime",7.7,91,26464,
Sabrina,1954,113 min,"Comedy, Drama, Romance",7.7,72,59415,
The Quiet Man,1952,129 min,"Comedy, Drama, Romance",7.7,,34677,"10,550,000"
The Day the Earth Stood Still,1951,92 min,"Drama, Sci-Fi",7.7,,76315,
The African Queen,1951,105 min,"Adventure, Drama, Romance",7.7,91,71481,"536,118"
Gilda,1946,110 min,"Drama, Film-Noir, Romance",7.7,,27991,
Fantasia,1940,125 min,"Animation, Family, Fantasy",7.7,96,88662,"76,408,097"
The Invisible Man,1933,71 min,"Horror, Sci-Fi",7.7,87,30683,
Dark Waters,2019,126 min,"Biography, Drama, History",7.6,73,60408,
Searching,2018,102 min,"Drama, Mystery, Thriller",7.6,71,140840,"26,020,957"
Once Upon a Time... in Hollywood,2019,161 min,"Comedy, Drama",7.6,83,551309,"142,502,728"
Nelyubov,2017,127 min,Drama,7.6,86,29765,"566,356"
The Florida Project,2017,111 min,Drama,7.6,92,95181,"5,904,366"
Just Mercy,2019,137 min,"Biography, Crime, Drama",7.6,68,46739,
Gifted,2017,101 min,Drama,7.6,60,99643,"24,801,212"
The Peanut Butter Falcon,2019,97 min,"Adventure, Comedy, Drama",7.6,70,66346,"13,122,642"
Victoria,2015,138 min,"Crime, Drama, Romance",7.6,77,52903,
Mustang,2015,97 min,Drama,7.6,83,35785,"845,464"
Guardians of the Galaxy Vol. 2,2017,136 min,"Action, Adventure, Comedy",7.6,67,569974,"389,813,101"
Baby Driver,2017,113 min,"Action, Crime, Drama",7.6,86,439406,"107,825,862"
Only the Brave,2017,134 min,"Action, Biography, Drama",7.6,72,58371,"18,340,051"
Bridge of Spies,2015,142 min,"Drama, History, Thriller",7.6,81,287659,"72,313,754"
Incredibles 2,2018,118 min,"Animation, Action, Adventure",7.6,80,250057,"608,581,744"
Moana,2016,107 min,"Animation, Adventure, Comedy",7.6,81,272784,"248,757,044"
Sicario,2015,121 min,"Action, Crime, Drama",7.6,82,371291,"46,889,293"
Creed,2015,133 min,"Drama, Sport",7.6,82,247666,"109,767,581"
Leviafan,2014,140 min,"Crime, Drama",7.6,92,49397,"1,092,800"
Hell or High Water,2016,102 min,"Action, Crime, Drama",7.6,88,204175,"26,862,450"
Philomena,2013,98 min,"Biography, Comedy, Drama",7.6,77,94212,"37,707,719"
Dawn of the Planet of the Apes,2014,130 min,"Action, Adventure, Drama",7.6,79,411599,"208,545,589"
El cuerpo,2012,112 min,"Mystery, Thriller",7.6,,57549,
Serbuan maut,2011,101 min,"Action, Thriller",7.6,73,190531,"4,105,123"
End of Watch,2012,109 min,"Action, Crime, Drama",7.6,68,228132,"41,003,371"
Kari-gurashi no Arietti,2010,94 min,"Animation, Adventure, Family",7.6,80,80939,"19,202,743"
A Star Is Born,2018,136 min,"Drama, Music, Romance",7.6,88,334312,"215,288,866"
True Grit,2010,110 min,"Drama, Western",7.6,80,311822,"171,243,005"
Hævnen,2010,118 min,"Drama, Romance",7.6,65,38491,"1,008,098"
Despicable Me,2010,95 min,"Animation, Comedy, Crime",7.6,72,500851,"251,513,985"
50/50,2011,100 min,"Comedy, Drama, Romance",7.6,72,315426,"35,014,192"
Kick-Ass,2010,117 min,"Action, Comedy, Crime",7.6,66,524081,"48,071,303"
Celda 211,2009,113 min,"Action, Adventure, Crime",7.6,,63882,
Moneyball,2011,133 min,"Biography, Drama, Sport",7.6,87,369529,"75,605,492"
La piel que habito,2011,120 min,"Drama, Horror, Thriller",7.6,70,138959,"3,185,812"
Zombieland,2009,88 min,"Adventure, Comedy, Fantasy",7.6,73,520041,"75,590,286"
Die Welle,2008,107 min,"Drama, Thriller",7.6,,102742,
Sherlock Holmes,2009,128 min,"Action, Adventure, Mystery",7.6,57,583158,"209,028,679"
The Blind Side,2009,129 min,"Biography, Drama, Sport",7.6,53,293266,"255,959,475"
The Visitor,2007,104 min,Drama,7.6,79,41544,"9,422,422"
Seven Pounds,2008,123 min,Drama,7.6,36,286770,"69,951,824"
Eastern Promises,2007,100 min,"Action, Crime, Drama",7.6,82,227760,"17,114,882"
Stardust,2007,127 min,"Adventure, Family, Fantasy",7.6,66,255036,"38,634,938"
The Secret of Kells,2009,71 min,"Animation, Adventure, Family",7.6,81,31779,"686,383"
Inside Man,2006,129 min,"Crime, Drama, Mystery",7.6,76,339757,"88,513,495"
Gone Baby Gone,2007,114 min,"Crime, Drama, Mystery",7.6,72,250590,"20,300,218"
La Vie En Rose,2007,140 min,"Biography, Drama, Music",7.6,66,82781,"10,301,706"
Huo Yuan Jia,2006,104 min,"Action, Biography, Drama",7.6,70,72863,"24,633,730"
The Illusionist,2006,110 min,"Drama, Fantasy, Mystery",7.6,68,354728,"39,868,642"
Dead Man's Shoes,2004,90 min,"Crime, Drama, Thriller",7.6,52,49728,"6,013"
Harry Potter and the Half-Blood Prince,2009,153 min,"Action, Adventure, Family",7.6,78,474827,"301,959,197"
300,2006,117 min,"Action, Drama",7.6,52,732876,"210,614,939"
Match Point,2005,124 min,"Drama, Romance, Thriller",7.6,72,206294,"23,089,926"
Watchmen,2009,162 min,"Action, Drama, Mystery",7.6,56,500799,"107,509,799"
Lord of War,2005,122 min,"Action, Crime, Drama",7.6,62,294140,"24,149,632"
Saw,2004,103 min,"Horror, Mystery, Thriller",7.6,46,379020,"56,000,369"
"Synecdoche, New York",2008,124 min,Drama,7.6,67,83158,"3,081,925"
Mysterious Skin,2004,105 min,Drama,7.6,73,65939,"697,181"
Jeux d'enfants,2003,93 min,"Comedy, Drama, Romance",7.6,45,67360,"548,707"
Un long dimanche de fiançailles,2004,133 min,"Drama, Mystery, Romance",7.6,76,70925,"6,167,817"
The Station Agent,2003,89 min,"Comedy, Drama",7.6,81,67370,"5,739,376"
21 Grams,2003,124 min,"Crime, Drama, Thriller",7.6,70,224545,"16,290,476"
Boksuneun naui geot,2002,129 min,"Crime, Drama, Thriller",7.6,56,62659,"45,289"
Finding Neverland,2004,106 min,"Biography, Drama, Family",7.6,67,198677,"51,680,613"
25th Hour,2002,135 min,Drama,7.6,68,169708,"13,060,843"
The Butterfly Effect,2004,113 min,"Drama, Sci-Fi, Thriller",7.6,30,451479,"57,938,693"
28 Days Later...,2002,113 min,"Drama, Horror, Sci-Fi",7.6,73,376853,"45,064,915"
Batoru rowaiaru,2000,114 min,"Action, Adventure, Drama",7.6,81,169091,
The Royal Tenenbaums,2001,110 min,"Comedy, Drama",7.6,76,266842,"52,364,010"
Y tu mamá también,2001,106 min,Drama,7.6,88,115827,"13,622,333"
Harry Potter and the Sorcerer's Stone,2001,152 min,"Adventure, Family, Fantasy",7.6,64,658185,"317,575,550"
The Others,2001,101 min,"Horror, Mystery, Thriller",7.6,74,337651,"96,522,687"
Blow,2001,124 min,"Biography, Crime, Drama",7.6,52,240714,"52,990,775"
Enemy at the Gates,2001,131 min,"Drama, History, War",7.6,53,243729,"51,401,758"
Minority Report,2002,145 min,"Action, Crime, Mystery",7.6,80,508417,"132,072,926"
The Hurricane,1999,146 min,"Biography, Drama, Sport",7.6,74,91557,"50,668,906"
American Psycho,2000,101 min,"Comedy, Crime, Drama",7.6,64,490062,"15,070,285"
Lola rennt,1998,81 min,"Crime, Drama, Thriller",7.6,77,188317,"7,267,585"
The Thin Red Line,1998,170 min,"Drama, War",7.6,78,172710,"36,400,491"
Mulan,1998,88 min,"Animation, Adventure, Family",7.6,71,256906,"120,620,254"
Fear and Loathing in Las Vegas,1998,118 min,"Adventure, Comedy, Drama",7.6,41,259753,"10,680,275"
Funny Games,1997,108 min,"Crime, Drama, Thriller",7.6,69,65058,
Dark City,1998,100 min,"Mystery, Sci-Fi, Thriller",7.6,66,187927,"14,378,331"
Sleepers,1996,147 min,"Crime, Drama, Thriller",7.6,49,186734,"49,100,000"
Lost Highway,1997,134 min,"Mystery, Thriller",7.6,52,131101,"3,796,699"
Sense and Sensibility,1995,136 min,"Drama, Romance",7.6,84,102598,"43,182,776"
Die Hard: With a Vengeance,1995,128 min,"Action, Adventure, Thriller",7.6,58,364420,"100,012,499"
Dead Man,1995,121 min,"Adventure, Drama, Fantasy",7.6,62,90442,"1,037,847"
The Bridges of Madison County,1995,135 min,"Drama, Romance",7.6,69,73172,"71,516,617"
Apollo 13,PG,140 min,"Adventure, Drama, History",7.6,77,269197,"173,837,933"
Trois couleurs: Blanc,1994,92 min,"Comedy, Drama, Romance",7.6,88,64390,"1,464,625"
Falling Down,1993,113 min,"Action, Crime, Drama",7.6,56,171640,"40,903,593"
Dazed and Confused,1993,102 min,Comedy,7.6,78,165465,"7,993,039"
My Cousin Vinny,1992,120 min,"Comedy, Crime",7.6,68,107325,"52,929,168"
Omohide poro poro,1991,118 min,"Animation, Drama, Romance",7.6,90,27071,"453,243"
Delicatessen,1991,99 min,"Comedy, Crime",7.6,66,80487,"1,794,187"
Home Alone,1990,103 min,"Comedy, Family",7.6,63,488817,"285,761,243"
The Godfather: Part III,1990,162 min,"Crime, Drama",7.6,60,359809,"66,666,062"
When Harry Met Sally...,1989,95 min,"Comedy, Drama, Romance",7.6,76,195663,"92,823,600"
The Little Mermaid,1989,83 min,"Animation, Family, Fantasy",7.6,88,237696,"111,543,479"
The Naked Gun: From the Files of Police Squad!,1988,85 min,"Comedy, Crime",7.6,76,152871,"78,756,177"
"Planes, Trains & Automobiles",1987,93 min,"Comedy, Drama",7.6,72,124773,"49,530,280"
Lethal Weapon,1987,109 min,"Action, Crime, Thriller",7.6,68,236894,"65,207,127"
Blood Simple,1984,99 min,"Crime, Drama, Thriller",7.6,82,87745,"2,150,000"
On Golden Pond,1981,109 min,Drama,7.6,68,27650,"119,285,432"
Mad Max 2,1981,96 min,"Action, Adventure, Sci-Fi",7.6,77,166588,"12,465,371"
The Warriors,1979,92 min,"Action, Crime, Thriller",7.6,65,93878,"22,490,039"
The Muppet Movie,1979,95 min,"Adventure, Comedy, Family",7.6,74,32802,"76,657,000"
Escape from Alcatraz,1979,112 min,"Action, Biography, Crime",7.6,76,121731,"43,000,000"
Watership Down,1978,91 min,"Animation, Adventure, Drama",7.6,64,33656,
Midnight Express,1978,121 min,"Biography, Crime, Drama",7.6,59,73662,"35,000,000"
Close Encounters of the Third Kind,1977,138 min,"Drama, Sci-Fi",7.6,90,184966,"132,088,635"
The Long Goodbye,1973,112 min,"Comedy, Crime, Drama",7.6,87,26337,"959,000"
Giù la testa,1971,157 min,"Drama, War, Western",7.6,77,30144,"696,690"
Kelly's Heroes,1970,144 min,"Adventure, Comedy, War",7.6,50,45338,"1,378,435"
The Jungle Book,1967,78 min,"Animation, Adventure, Family",7.6,65,166409,"141,843,612"
Blowup,1966,111 min,"Drama, Mystery, Thriller",7.6,82,56513,
A Hard Day's Night,1964,87 min,"Comedy, Music, Musical",7.6,96,40351,"13,780,024"
Breakfast at Tiffany's,1961,115 min,"Comedy, Drama, Romance",7.6,76,166544,
Giant,1956,201 min,"Drama, Western",7.6,84,34075,
From Here to Eternity,1953,118 min,"Drama, Romance, War",7.6,85,43374,"30,500,000"
Lifeboat,1944,97 min,"Drama, War",7.6,78,26471,
The 39 Steps,1935,86 min,"Crime, Mystery, Thriller",7.6,93,51853,